rank,name,anime,favorites,url
801,"Flourite, Fai D.(ファイ・D・フローライト)",Tsubasa ChronicleTsubasa Chronicle: Tori Kago no Kuni no HimegimiTsubasa Chronicle 2nd Season,2430,https://myanimelist.net/character/9702/Fai_D_Flourite
802,Bishamon(毘沙門),Noragami AragotoNoragamiNoragami OVA,2426,https://myanimelist.net/character/93711/Bishamon
803,"Minami, Kotori(南 ことり)","Bokura no Live Kimi to no LifeSnow HalationNatsu-iro Egao de 1, 2, Jump!",2425,https://myanimelist.net/character/46013/Kotori_Minami
804,Viral(ヴィラル),Tengen Toppa Gurren Lagann: Parallel WorksTengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai YumeTengen Toppa Gurren Lagann,2425,https://myanimelist.net/character/2378/Viral
805,Mordred(モードレッド),Fate/stay nightFate/ApocryphaFate/Grand Order,2419,https://myanimelist.net/character/55977/Mordred
806,Siesta(シエスタ),"Tantei wa Mou, Shindeiru.Tantei wa Mou, Shindeiru. Season 2",2412,https://myanimelist.net/character/188166/Siesta
807,"Vessalius, Oz(オズ＝ベザリウス)",Pandora HeartsPandora Hearts Omake,2412,https://myanimelist.net/character/13835/Oz_Vessalius
808,Satou(佐藤),Ajin Part 2 OVAAjin Part 1: ShoudouAjin Part 2: Shoutotsu,2411,https://myanimelist.net/character/108555/Satou
809,"Cheng, Xiaoshi(程 小時)",Shiguang DailirenShiguang Dailiren Fanwai Pian: Biwu ZhaoqinShiguang Dailiren II,2400,https://myanimelist.net/character/196252/Xiaoshi_Cheng
810,"Morokuzu, Takehito(諸葛 岳人)",Prison SchoolPrison School: Mad Wax,2397,https://myanimelist.net/character/64851/Takehito_Morokuzu
811,"Tanaka, Ryuunosuke(田中 龍之介)",Haikyuu!!Haikyuu!! Lev Genzan!Haikyuu!! Second Season,2396,https://myanimelist.net/character/67325/Ryuunosuke_Tanaka
812,"Ghirga, Narancia(ナランチャ・ギルガ)",JoJo no Kimyou na Bouken Part 5: Ougon no KazeJoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps,2394,https://myanimelist.net/character/11895/Narancia_Ghirga
813,"Brunestud, Arcueid(アルクェイド・ブリュンスタッド)",Shingetsutan TsukihimeCarnival PhantasmCarnival Phantasm EX Season,2388,https://myanimelist.net/character/2213/Arcueid_Brunestud
814,"Hekmatyar, Koko(ココ・ヘクマティアル)",JormungandJormungand: Perfect Order,2386,https://myanimelist.net/character/33451/Koko_Hekmatyar
815,Pino(ピノ),Ergo Proxy,2385,https://myanimelist.net/character/644/Pino
816,Ymir(ユミル),Shingeki no KyojinShingeki no Kyojin Picture DramaShingeki no Kyojin Movie 1: Guren no Yumiya,2378,https://myanimelist.net/character/71479/Ymir
817,"Chidori, Kaname(千鳥 かなめ)",Full Metal Panic!Full Metal Panic? FumoffuFull Metal Panic! The Second Raid,2378,https://myanimelist.net/character/272/Kaname_Chidori
818,Calcifer(カルシファー),Howl no Ugoku Shiro,2371,https://myanimelist.net/character/6752/Calcifer
819,"Watanuki, Kimihiro(四月一日 君尋)",xxxHOLiC Movie: Manatsu no Yoru no YumexxxHOLiCxxxHOLiC◆Kei,2370,https://myanimelist.net/character/235/Kimihiro_Watanuki
820,Ein(アイン),Cowboy Bebop: Ein no NatsuyasumiCowboy BebopCowboy Bebop: Tengoku no Tobira,2367,https://myanimelist.net/character/4/Ein
821,"Li, Shaoran(李 小狼)",Cardcaptor SakuraCardcaptor Sakura Movie 1Cardcaptor Sakura Movie 2: Fuuin Sareta Card,2360,https://myanimelist.net/character/3029/Shaoran_Li
822,Gally(ガリィ),GunnmGunnm 3D Special,2356,https://myanimelist.net/character/2308/Gally
823,"Ichinose, Kotomi(一ノ瀬 ことみ)",ClannadClannad MovieClannad: After Story,2353,https://myanimelist.net/character/4602/Kotomi_Ichinose
824,Lubbock(ラバック),AkaKill! GekijouAkame ga Kill!,2352,https://myanimelist.net/character/65231/Lubbock
825,"Kurosawa, Kakeru(黒沢翔)",,2351,https://myanimelist.net/character/16454/Kakeru_Kurosawa
826,"Sasaki, Haise(佐々木 琲世)",Tokyo Ghoul:reTokyo Ghoul:re 2nd Season,2350,https://myanimelist.net/character/115167/Haise_Sasaki
827,"Tobiichi, Origami(鳶一 折紙)",Date A LiveDate A Live: Date to DateDate A Live II,2346,https://myanimelist.net/character/65261/Origami_Tobiichi
828,Togame(とがめ),Katanagatari,2340,https://myanimelist.net/character/28523/Togame
829,"Fuwa, Aika(不破 愛花)",Zetsuen no Tempest,2329,https://myanimelist.net/character/62581/Aika_Fuwa
830,T.K.,Angel Beats! SpecialsAngel Beats!Kaginado Season 2,2328,https://myanimelist.net/character/24509/TK
831,"Ushiromiya, Battler(右代宮 戦人)",Umineko no Naku Koro niUmineko no Naku Koro ni Specials,2325,https://myanimelist.net/character/14040/Battler_Ushiromiya
832,"Takagi, Yasushi(高木 泰士)",Nana,2325,https://myanimelist.net/character/2450/Yasushi_Takagi
833,"Hoshino, Yutaka(星野 裕)",Ping Pong the Animation,2319,https://myanimelist.net/character/20326/Yutaka_Hoshino
834,"Suwa, Hiroto(須和 弘人)",OrangeOrange: Mirai,2317,https://myanimelist.net/character/66595/Hiroto_Suwa
835,Yue(ユエ),Arifureta Shokugyou de Sekai SaikyouArifureta Shokugyou de Sekai Saikyou SpecialsArifureta Shokugyou de Sekai Saikyou Recap,2304,https://myanimelist.net/character/129062/Yue
836,"Kida, Masaomi(紀田正臣)",Durarara!!Durarara!!x2 KetsuDurarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,2303,https://myanimelist.net/character/24593/Masaomi_Kida
837,YoRHa 2-gou B-gata(ヨルハ2号B型),NieR:Automata Ver1.1aNieR:Automata Ver1.1a Part 2NieR:Automata Ver1.1a Part 2: Chapter. 13-18 Chousa Report,2302,https://myanimelist.net/character/153798/YoRHa_2-gou_B-gata
838,"Dunois, Charlotte(シャルロット デュノア)",IS: Infinite StratosIS: Infinite Stratos Encore - Koi ni Kogareru RokujuusouIS: Infinite Stratos 2,2297,https://myanimelist.net/character/35662/Charlotte_Dunois
839,Togata(トガタ),,2283,https://myanimelist.net/character/151139/Togata
840,Hiro(ヒロ),Darling in the FranXX,2281,https://myanimelist.net/character/155678/Hiro
841,"Yonsa, Balsa(バルサ)",Seirei no Moribito,2278,https://myanimelist.net/character/2645/Balsa_Yonsa
842,"Yashiro, Nene(八尋 寧々)",Jibaku Shounen Hanako-kunJibaku Shounen Hanako-kun 2Houkago Shounen Hanako-kun,2273,https://myanimelist.net/character/160103/Nene_Yashiro
843,Angel Devil(天使の悪魔),Chainsaw ManChainsaw Man Movie: Reze-hen,2270,https://myanimelist.net/character/174744/Angel_Devil
844,"Mitsuba, Sousuke(三葉 惣助)",Jibaku Shounen Hanako-kunJibaku Shounen Hanako-kun 2Houkago Shounen Hanako-kun,2270,https://myanimelist.net/character/171859/Sousuke_Mitsuba
845,"Tokoyami, Fumikage(常闇 踏陰)",Boku no Hero AcademiaBoku no Hero Academia 2nd SeasonBoku no Hero Academia: Sukue! Kyuujo Kunren!,2270,https://myanimelist.net/character/129826/Fumikage_Tokoyami
846,"Might, Guy(マイト・ガイ)",Naruto SD: Rock Lee no Seishun Full-Power NindenNarutoNaruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!,2270,https://myanimelist.net/character/307/Guy_Might
847,"Ogiwara, Sayu(荻原 沙優)",Hige wo Soru. Soshite Joshikousei wo Hirou.,2268,https://myanimelist.net/character/181333/Sayu_Ogiwara
848,"Lan, Wangji(蓝 忘机)",Mo Dao Zu ShiMo Dao Zu Shi: Xian Yun PianMo Dao Zu Shi: Wanjie Pian,2266,https://myanimelist.net/character/163084/Wangji_Lan
849,Pen Pen(ペンペン),"Shinseiki EvangelionShinseiki Evangelion Movie: Air/Magokoro wo, Kimi niEvangelion Movie 1: Jo",2266,https://myanimelist.net/character/1892/Pen_Pen
850,Friend(ともだち),,2262,https://myanimelist.net/character/14314/Friend
851,Stark(シュタルク),Sousou no FrierenSousou no Frieren: ●● no MahouSousou no Frieren 2nd Season,2261,https://myanimelist.net/character/188177/Stark
852,"Nanjou, Sachi(南条 幸)",,2258,https://myanimelist.net/character/58443/Sachi_Nanjou
853,"Donato, Marcille(マルシル・ドナトー)",Dungeon Meshi PVsDungeon MeshiDungeon Meshi 2nd Season,2255,https://myanimelist.net/character/134263/Marcille_Donato
854,"Testarossa, Fate(フェイト・テスタロッサ)",Mahou Shoujo Lyrical NanohaMahou Shoujo Lyrical Nanoha A'sMahou Shoujo Lyrical Nanoha StrikerS,2252,https://myanimelist.net/character/1896/Fate_Testarossa
855,"Trancy, Alois(アロイス・トランシー)",Kuroshitsuji IIKuroshitsuji II Specials,2251,https://myanimelist.net/character/30030/Alois_Trancy
856,"Tadano, Hitohito(只野 仁人)","Komi-san wa, Comyushou desu.Komi-san wa, Comyushou desu. 2nd Season",2243,https://myanimelist.net/character/151722/Hitohito_Tadano
857,"Boyle, Arthur(アーサー・ボイル)",Enen no ShouboutaiEnen no Shouboutai: Ni no ShouEnen no Shouboutai: San no Shou,2243,https://myanimelist.net/character/134151/Arthur_Boyle
858,"Nanba, Mutta(南波六太)",Uchuu KyoudaiUchuu Kyoudai: Itten no HikariUchuu Kyoudai: Number Zero,2237,https://myanimelist.net/character/55171/Mutta_Nanba
859,"Echizen, Ryouma(越前  リョーマ)",Tennis no OujisamaTennis no Oujisama Movie 1: Futari no Samurai - The First GameTennis no Oujisama: Zenkoku Taikai-hen,2233,https://myanimelist.net/character/324/Ryouma_Echizen
860,"Amamiya, Ren(雨宮 蓮)",Persona 5 the Animation: The Day BreakersPersona 5 the AnimationPersona 5 the Animation TV Specials,2227,https://myanimelist.net/character/142795/Ren_Amamiya
861,Yuno(ユノ),Black Clover: Jump Festa 2016 SpecialBlack CloverBlack Clover: Jump Festa 2018 Special,2221,https://myanimelist.net/character/124732/Yuno
