rank,name,anime,favorites,url
1412,"Fudou, Yuusei(不動 遊星)",Yu☆Gi☆Oh! 5D'sYu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon'sYu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,1132,https://myanimelist.net/character/9700/Yuusei_Fudou
1413,"Ajiro, Shinpei(網代 慎平)",Summertime Render,1131,https://myanimelist.net/character/170610/Shinpei_Ajiro
1414,"Kurokami, Medaka(黒神 めだか)",Medaka BoxMedaka Box Abnormal,1130,https://myanimelist.net/character/21794/Medaka_Kurokami
1415,"Sendo, Takeshi(千堂 武士)",Hajime no IppoHajime no Ippo: Champion RoadHajime no Ippo: New Challenger,1130,https://myanimelist.net/character/1821/Takeshi_Sendo
1416,"Hinata, Hajime(日向 創)",Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-henDanganronpa 3: The End of Kibougamine Gakuen - Kibou-henSuper Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha,1129,https://myanimelist.net/character/73203/Hajime_Hinata
1417,"Yusa, Emi(遊佐 恵美 / エミリア・ユスティーナ)",Hataraku Maou-sama!Hataraku Maou-sama!!Hataraku Maou-sama!! 2nd Season,1129,https://myanimelist.net/character/70735/Emi_Yusa
1418,"Suwen, Otto(オットー・スーウェン)",Re:Zero kara Hajimeru Isekai SeikatsuRe:Zero kara Hajimeru Isekai Seikatsu 2nd SeasonIsekai Quartet Movie: Another World,1127,https://myanimelist.net/character/141438/Otto_Suwen
1419,"Amano, Yukiteru(天野 雪輝)",Mirai NikkiMirai Nikki (TV)Mirai Nikki (TV): Ura Mirai Nikki,1127,https://myanimelist.net/character/4962/Yukiteru_Amano
1420,"Saten, Ruiko(佐天 涙子)",Toaru Kagaku no RailgunToaru Kagaku no Railgun: Motto Marutto RailgunToaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,1121,https://myanimelist.net/character/20626/Ruiko_Saten
1421,Ishtar(イシュタル),Fate/Grand Order: Zettai Majuu Sensen BabyloniaFate/Grand OrderFate/Grand Order: Moonlight/Lostroom,1120,https://myanimelist.net/character/157442/Ishtar
1422,"Otonashi, Saya(音無小夜)",Blood+,1119,https://myanimelist.net/character/836/Saya_Otonashi
1423,Elizabeth(エリザベス / 江蓮),Gintama Movie 1: Shinyaku Benizakura-henGintamaGintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,1113,https://myanimelist.net/character/2946/Elizabeth
1424,"Cavendish, Diana(ダイアナ・キャベンディッシュ)",Little Witch AcademiaLittle Witch Academia: Mahoujikake no ParadeLittle Witch Academia (TV),1112,https://myanimelist.net/character/81709/Diana_Cavendish
1425,"Oikura, Sodachi(老倉 育)",OwarimonogatariZoku OwarimonogatariMonogatari Series: Off & Monster Season,1110,https://myanimelist.net/character/130739/Sodachi_Oikura
1426,"Mishima, Hitomi(三嶋 瞳)",Hinamatsuri,1110,https://myanimelist.net/character/100421/Hitomi_Mishima
1427,"Nohara, Shinnosuke(野原 新の助)",Crayon Shin-chanCrayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,1108,https://myanimelist.net/character/2951/Shinnosuke_Nohara
1428,"Kasumi, Fuu(フウ)",Samurai Champloo,1107,https://myanimelist.net/character/392/Fuu_Kasumi
1429,"Houjou, Satoko(北条 沙都子)",Higurashi no Naku Koro niHigurashi no Naku Koro ni KaiHigurashi no Naku Koro ni Special: Nekogoroshi-hen,1106,https://myanimelist.net/character/1612/Satoko_Houjou
1430,"Kunikida, Hanamaru(国木田 花丸)",Kimi no Kokoro wa Kagayaiteru kai?Love Live! Sunshine!!Koi ni Naritai Aquarium,1105,https://myanimelist.net/character/135409/Hanamaru_Kunikida
1431,"Ren, Hakuryuu(練 白龍)",Magi: The Labyrinth of MagicMagi: The Kingdom of Magic,1105,https://myanimelist.net/character/46823/Hakuryuu_Ren
1432,"Thurston, Renton(レントン・サーストン)",Koukyoushihen Eureka SevenKoukyoushihen Eureka Seven: Kinkyuu Tokuban Navigation ray=outKoukyoushihen Eureka Seven: Pocket ga Niji de Ippai,1103,https://myanimelist.net/character/477/Renton_Thurston
1433,Suiseiseki(翠星石),Rozen MaidenRozen Maiden: TräumendRozen Maiden (2013),1101,https://myanimelist.net/character/1105/Suiseiseki
1434,"Kamio, Misuzu(神尾 観鈴)",AirAir MovieAir Recap,1099,https://myanimelist.net/character/188/Misuzu_Kamio
1435,Crimvael(クリムヴェール),Ishuzoku Reviewers,1098,https://myanimelist.net/character/177297/Crimvael
1436,Keroberos(ケルベロス),Cardcaptor SakuraCardcaptor Sakura Movie 1Cardcaptor Sakura Movie 2: Fuuin Sareta Card,1097,https://myanimelist.net/character/2897/Keroberos
1437,"Chisaki, Kai(治崎 廻)",Boku no Hero Academia 3rd SeasonBoku no Hero Academia 4th SeasonBoku no Hero Academia 6th Season,1096,https://myanimelist.net/character/148286/Kai_Chisaki
1438,"Matsumoto, Rangiku(松本 乱菊)",Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no HyourinmaruBleachBleach: The Sealed Sword Frenzy,1096,https://myanimelist.net/character/904/Rangiku_Matsumoto
1439,"Nome, Sheryl(シェリル・ノーム)",Macross FMacross F: Close Encounter - Deculture EditionMacross Fufonfia,1095,https://myanimelist.net/character/7560/Sheryl_Nome
1440,"Hoshino, Anzu(星野 杏子)",Romantic Killer,1093,https://myanimelist.net/character/216277/Anzu_Hoshino
1441,Shinigami(死神様),Soul Eater,1092,https://myanimelist.net/character/8457/Shinigami
1442,"Sanson, Marie-Josèphe(マリー＝ジョセフ・サンソン)",,1090,https://myanimelist.net/character/92157/Marie-Josèphe_Sanson
1443,"Himeragi, Yukina(姫柊 雪菜)",Strike the BloodStrike the Blood: Valkyria no Oukoku-henStrike the Blood II,1087,https://myanimelist.net/character/81597/Yukina_Himeragi
1444,"Tachibana, Mei(橘 めい)",Suki tte Ii na yo.Suki tte Ii na yo. Dareka gaSuki tte Ii na yo.: Mei and Marshmallow,1086,https://myanimelist.net/character/24201/Mei_Tachibana
1445,Jiji(ジジ),Majo no Takkyuubin x McDonald's CMsMajo no Takkyuubin,1086,https://myanimelist.net/character/3133/Jiji
1446,"Hiiragi, Tsukasa(柊 つかさ)",Lucky☆StarLucky☆Star: Original na Visual to AnimationMiyakawa-ke no Kuufuku,1084,https://myanimelist.net/character/2170/Tsukasa_Hiiragi
